yearID,CG
1871,12.157894736842104
1872,13.625
1873,14.48
1874,25.823529411764707
1875,13.212765957446809
1876,13.882352941176471
1877,17.157894736842106
1878,16.0
1879,23.423076923076923
1880,18.424242424242426
1881,20.35483870967742
1882,14.594594594594595
1883,15.75
1884,12.096234309623432
1885,14.131147540983607
1886,13.608108108108109
1887,14.314685314685315
1888,16.307692307692307
1889,14.079710144927537
1890,13.327188940092165
1891,13.180555555555555
1892,14.094827586206897
1893,11.763636363636364
1894,9.992307692307692
1895,11.191304347826087
1896,11.456140350877194
1897,13.223300970873787
1898,13.870689655172415
1899,12.253846153846155
1900,12.972222222222221
1901,12.50326797385621
1902,10.449197860962567
1903,11.791411042944786
1904,15.726618705035971
1905,13.05921052631579
1906,11.086705202312139
1907,10.143646408839778
1908,8.765625
1909,7.167400881057269
1910,7.077272727272727
1911,6.153191489361702
1912,5.4961832061068705
1913,5.368421052631579
1914,7.095890410958904
1915,6.537974683544304
1916,6.276190476190476
1917,7.310526315789474
1918,5.859090909090909
1919,5.512605042016807
1920,6.207964601769912
1921,5.757847533632287
1922,5.612612612612613
1923,5.405286343612334
1924,4.910204081632653
1925,5.291304347826087
1926,5.210762331838565
1927,5.088983050847458
1928,5.157894736842105
1929,5.1902654867256635
1930,4.876106194690266
1931,5.800970873786408
1932,5.013333333333334
1933,5.344497607655502
1934,4.607758620689655
1935,4.824561403508772
1936,4.504166666666666
1937,4.717299578059071
1938,4.554166666666666
1939,3.935114503816794
1940,4.429718875502008
1941,4.1923076923076925
1942,4.681818181818182
1943,4.396
1944,4.530120481927711
1945,4.292134831460674
1946,3.401929260450161
1947,3.6104868913857677
1948,3.4204545454545454
1949,4.091666666666667
1950,3.864864864864865
1951,3.5681818181818183
1952,3.4817518248175183
1953,3.3384615384615386
1954,3.3149606299212597
1955,2.5150501672240804
1956,2.6783216783216783
1957,2.512280701754386
1958,2.5236486486486487
1959,2.6219081272084805
1960,2.411552346570397
1961,2.527027027027027
1962,2.4709302325581395
1963,2.6303030303030304
1964,2.26271186440678
1965,2.2202380952380953
1966,2.0728291316526612
1967,2.1707988980716255
1968,2.7815384615384615
1969,2.205357142857143
1970,1.9192825112107623
1971,2.674019607843137
1972,2.4268585131894485
1973,2.637037037037037
1974,2.7121588089330024
1975,2.5384615384615383
1976,2.662404092071611
1977,1.9869848156182213
1978,2.366742596810934
1979,1.9635974304068522
1980,1.9701834862385321
1981,1.0809128630705394
1982,1.6554809843400446
1983,1.6375545851528384
1984,1.3774403470715835
1985,1.3024691358024691
1986,1.1676646706586826
1987,1.0842911877394636
1988,1.2270058708414873
1989,0.8979591836734694
1990,0.7578947368421053
1991,0.6654676258992805
1992,0.8007518796992481
1993,0.6094771241830066
1994,0.5182926829268293
1995,0.37032085561497324
1996,0.40304709141274236
1997,0.3802228412256267
1998,0.4099462365591398
1999,0.30709677419354836
2000,0.2941903584672435
2001,0.25921219822109276
2002,0.26783479349186484
2003,0.2626387176325524
2004,0.18437118437118438
2005,0.24680306905370844
2006,0.1722488038277512
2007,0.13200934579439252
2008,0.162874251497006
2009,0.17721518987341772
2010,0.20559610705596107
2011,0.20232558139534884
2012,0.14492753623188406
2013,0.14013452914798205
2014,0.13143483023001096
2015,0.10894141829393628
2016,0.0872210953346856
2017,0.059230009871668314
2018,0.03917910447761194
2019,0.04076086956521739
2020,0.026556776556776556
2021,0.04101722723543889
